################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  127.250   -7.750    0.000    3.001
  127.250   -8.000    0.000    3.003
  127.250   -8.250    0.000    3.004
  127.250   -8.500    0.000    3.001
  127.250   -8.750    0.000    3.001
  127.250   -9.000    0.000    3.005
  127.250   -9.250    0.000    3.009
  127.250   -9.500    0.000    3.009
  127.250   -9.750    0.000    3.006
  127.250  -10.000    0.000    3.001
  127.250  -10.250    0.000    2.998
  127.250  -10.500    0.000    2.999
  127.250  -10.750    0.000    3.000
  127.250  -11.000    0.000    3.000
  127.250  -11.250    0.000    3.000
  127.500   -7.500    0.000    3.000
  127.500   -7.750    0.000    3.000
  127.500   -8.000    0.000    3.001
  127.500   -8.250    0.000    3.002
  127.500   -8.500    0.000    3.003
  127.500   -8.750    0.000    3.004
  127.500   -9.000    0.000    3.006
  127.500   -9.250    0.000    3.007
  127.500   -9.500    0.000    3.005
  127.500   -9.750    0.000    3.002
  127.500  -10.000    0.000    2.999
  127.500  -10.250    0.000    2.998
  127.500  -10.500    0.000    2.999
  127.500  -10.750    0.000    3.000
  127.500  -11.000    0.000    3.000
  127.500  -11.250    0.000    3.000
  127.750   -7.500    0.000    3.000
  127.750   -7.750    0.000    3.000
  127.750   -8.000    0.000    3.001
  127.750   -8.250    0.000    3.002
  127.750   -8.500    0.000    3.002
  127.750   -8.750    0.000    3.003
  127.750   -9.000    0.000    3.004
  127.750   -9.250    0.000    3.003
  127.750   -9.500    0.000    3.001
  127.750   -9.750    0.000    2.999
  127.750  -10.000    0.000    2.998
  127.750  -10.250    0.000    2.999
  127.750  -10.500    0.000    3.000
  127.750  -10.750    0.000    3.000
  127.750  -11.000    0.000    3.000
  127.750  -11.250    0.000    3.000
  128.000   -7.500    0.000    3.000
  128.000   -7.750    0.000    3.000
  128.000   -8.000    0.000    3.001
  128.000   -8.250    0.000    3.001
  128.000   -8.500    0.000    3.001
  128.000   -8.750    0.000    3.001
  128.000   -9.000    0.000    3.001
  128.000   -9.250    0.000    3.000
  128.000   -9.500    0.000    2.999
  128.000   -9.750    0.000    2.999
  128.000  -10.000    0.000    2.999
  128.000  -10.250    0.000    3.000
  128.000  -10.500    0.000    3.000
  128.000  -10.750    0.000    3.000
  128.000  -11.000    0.000    3.000
  128.000  -11.250    0.000    3.000
  128.250   -7.500    0.000    3.000
  128.250   -7.750    0.000    3.000
  128.250   -8.000    0.000    3.000
  128.250   -8.250    0.000    3.000
  128.250   -8.500    0.000    3.000
  128.250   -8.750    0.000    3.000
  128.250   -9.000    0.000    3.000
  128.250   -9.250    0.000    3.000
  128.250   -9.500    0.000    2.999
  128.250   -9.750    0.000    2.999
  128.250  -10.000    0.000    3.000
  128.250  -10.250    0.000    3.000
  128.250  -10.500    0.000    3.000
  128.250  -10.750    0.000    3.000
  128.250  -11.000    0.000    3.000
  128.250  -11.250    0.000    3.000
  128.500   -7.500    0.000    3.000
  128.500   -7.750    0.000    3.000
  128.500   -8.000    0.000    3.000
  128.500   -8.250    0.000    3.000
  128.500   -8.500    0.000    3.000
  128.500   -8.750    0.000    3.000
  128.500   -9.000    0.000    3.000
  128.500   -9.250    0.000    3.000
  128.500   -9.500    0.000    3.000
  128.500   -9.750    0.000    3.000
  128.500  -10.000    0.000    3.000
  128.500  -10.250    0.000    3.000
  128.500  -10.500    0.000    3.000
  128.500  -10.750    0.000    3.000
  128.500  -11.000    0.000    3.000
  128.500  -11.250    0.000    3.000
  117.500   -7.500    5.000    3.075
